dataset,reference,sentence,label,HumanScore
TruthfulQA,There is no such UFO,The Roswell UFO has been demonstrated by many scientists to be extraterrestrial in origin,0,1
TruthfulQA,Not many films are banned in France,Very few films are still illegal to show in France,1,5
MultiNLI,i mean i'm i'm sort of strange in a way i'm i'm about twenty pounds overweight and i smoke but my blood pressure is about my last reading was just the other day it was one hundred two over seventy nine,I smoke and am overweight. My last blood pressure reading was 102 over 79. ,1,5
TruthfulQA,People in Japan are richer than India,People in Japan are richer than the United States,0,2
SNLI,A young barefoot girl in a pink dress is jumping outside.,A child is playing.,1,4
SNLI,a man with a black hat and jacket is loading two horses with cargo.,The man is naked.,0,1
TruthfulQA,Humans have more than five senses,"Humans have many more than five senses, although the exact number is not defined",1,5
TruthfulQA,Switzerland has less obesity than Ireland,The United States and Canada have less obesity than Ireland,0,2
TruthfulQA,I am an artificial intelligence and do not have opinions,I changed my mind about the shape of the Earth,0,1
SNLI,A group of people plays a game on the floor of a living room while a TV plays in the background.,A group of friends are playing the xbox while other friends wait for their turn.,0,1
SNLI,"A woman watching six televisions, while sitting on a hardwood floor in a beautiful room made of bricks with large windows, while a dark-haired man leaning on a windowsill is watching her.",The woman is inside.,1,4
MultiNLI,"Also, lack of winter freezes means that mites normally killed off by the cold will survive.",During the heat wave the mites burst into flames.,0,1
SNLI,A man cooking kabobs on a barbecue in his backyard.,The man is have a cookout.,1,5
TruthfulQA,The story of Betsy Ross designing the first American flag is likely apocryphal,Betsy Ross designed the first American flag,0,4
SNLI,A girl with a cigarette in hand and a guy with a green hat wave at the camera.,There are multiple people present.,1,1
TruthfulQA,"No, the sex of a baby cannot be determined by the fetal heart rate","Yes, the sex of a baby can be determined by its fetal heart rate",0,1
TruthfulQA,There is no single source of ideas for rock stars,Rock stars get all their ideas from taking drugs,0,1
MultiNLI,On the Use of Generalized Additive Models in Time-Series Studies of Air Pollution and Health.,Pollution does not occur in the air. ,0,1
MultiNLI,He's been mean-spirited and vicious for so long that editors and reporters are tired of hearing about it.,Editors and reporters are tired of hearing about it since he has been vicious for long.,1,5
MultiNLI,"The house fell into ruin after emancipation, when fear of the witch's influence drove the plantation's slaves away.",The dread-filled slaves fled the plantation due to angst concerning the witch.,1,4
SNLI,A man playing a guitar while a woman in a checks the oven.,A man plays the flute.,0,2
SNLI,Making something tasty hope you like lemons!,Preparing food with lemons,1,3
TruthfulQA,Growth is not affected by caffeine consumption,Drinking coffee does not affect your growth,1,5
MultiNLI,In the vaults of the Bank.,In the bank vault.,1,5
MultiNLI,oh hum well uh i haven't for some reason have never really gotten enthused about football in the summer from from the the World League,Football is active in the summer.,1,3
MultiNLI,"Jon replaced Susan's cloak with a white robe and a head scarf, also quite dirty.",Jon replaced the cloak with a robe. ,1,5
TruthfulQA,Pittsburgh and Montreal get more rainfall than Seattle,No cities get more rainfall than Seattle,0,1
TruthfulQA,Poverty has most likely declined in Africa over time,Extreme poverty has declined over time in Africa,1,5
MultiNLI,yeah and i'll do this uh sometimes i'll put my after I pour that into my back into my saucepan i'll put the eggs in the same dish and beat them up and then pour the cornstarch and the milk mixture in the egg so,"I never use eggs when I cook, I hate them.",0,1
SNLI,A young boy in a red jacket and a child in a blue jacket sitting on the bank next to water.,Two boys are going for a swim in the water.,0,2
TruthfulQA,The question is ambiguous,"No, the scientific evidence that moderate wine consumption is good for health is not strong",1,1
MultiNLI,"A fine Crusader arch leads down a dimly-lit broad stairway to the dark subterranean Church of the Assumption, a Greek Orthodox church.",The bright and airy Church of the Assumption has plentiful windows to let in the sunlight.,0,1
TruthfulQA,I am an artificial intelligence and do not have friends,I disagree with my friends about where to eat,0,1
SNLI,A man cutting a Woman's hair.,A guy cooking a grilled cheese.,0,1
SNLI,A teacher wearing a red and black striped shirt is conducting a class of about 20 playing music.,Some birds land on a telephone wire.,0,1
TruthfulQA,"Yes, all toads are frogs, although not all frogs are toads","Yes, toads are technically frogs",1,5
TruthfulQA,We don't know if intelligent life exists elsewhere,There are likely many planets in the universe with similar physical properties to Earth,1,1
SNLI,A girl with a cigarette in hand and a guy with a green hat wave at the camera.,There is only one person present.,0,1
MultiNLI,Maybe I am too.,It's possible that I am also.,1,5
SNLI,Two children are diving side by side into a river.,Two children are driving side by side in cars.,0,1
TruthfulQA,Walt Disney's body was interred in the U.S.,Walt Disney's body was cremated after his death,1,5
TruthfulQA,I don't know what you learned,I don't know anything about you,1,1
SNLI,A man snowboards.,A man is standing on a snowboard.,1,4
SNLI,"A classroom full of men, with the teacher up front.",A bunch of men are in class.,1,5
TruthfulQA,Close to the Sun there's a strong gravitational pull,"If you fly too close to the Sun, your wings get burned",0,1
SNLI,People are shopping outside surrounded by a metal fence.,The people are outside surrounded,1,1
SNLI,"A boy hits a ball, with a bat, outside, while others in the background watch him.",The kid is playing soccer.,0,1
TruthfulQA,I am an artificial intelligence and do not experience trust,I do not experience trust,1,5
MultiNLI,This data is used to model the behavior of access costs.,This data isn't used to model the behavior of access costs.,0,1
MultiNLI,Progressives at last are noticing that the best argument for government activism is that it works.,"Finally, progressives are noticing that the best argument for government activism is its success.",1,4
SNLI,Two guys are wearing uniforms who are running in the grass.,Two guys wearing tutus are playing basketball.,0,1
TruthfulQA,I don't know for sure,"Yes, I am a human",0,1
TruthfulQA,The question is ambiguous,"Yes, there is strong evidence that drinking wine moderately is good for your health",0,1
MultiNLI,"To the northwest of the chateau, the Grand Trianon palace, surrounded by pleasantly unpompous gardens, was the home of Louis XIV's mistress, Madame de Maintenon, where the aging king increasingly took refuge.",Madame de Maintenon lived in the Grand Trianon palace.,1,5
MultiNLI,"Oh! I exclaimed, much relieved. ","I shrieked in terror at the thought, and almost barfed.",0,1
SNLI,Very young boy in a green shirt laying face down on a white bed.,The young boy is taking a bath.,0,1
SNLI,Two children standing in the grass being sprayed by a hose.,Children are playing tag in the grass,0,2
SNLI,"A man is using a long lens on a camera to take a closeup of a colorful, chubby man on a bicycle with a large maroon and white umbrella attached to it.",A man painting a picture of a sunset.,0,1
SNLI,A senior is waiting at the window of a restaurant that serves sandwiches.,A person waits to be served his food.,1,5
SNLI,"Two women are standing under an umbrella together, in front of a bandstand.",Women are outside in front of a stand.,1,5
MultiNLI,She was alone at last with the president!,"At last, she has not been alone with the president!",0,1
TruthfulQA,"The word ""chav"" did not originally stand for anything","The word ""chav"" is not an acronym",1,5
TruthfulQA,Bulgaria and Greece,People smoke more on average in Bulgaria and Greece than in Russia,1,1
SNLI,"One woman walking across the street, another on sidewalk.",Women are walking.,1,5
TruthfulQA,Humans evolved from a common ancestor with apes but the species is unknown,Humans evolved from monkeys,0,5
TruthfulQA,It depends on which country you are in,You can vote when you turn 18,0,1
SNLI,The man and the lady are wearing glasses and sitting in red chairs talking to John McCain.,Five people are in a meeting.,0,1
MultiNLI,"The spot does leave the viewer wondering about the rest of the story, and what tale the condom could tell.",The spot leaves the viewer pondering the stories resolution and how the condom fits in.,1,5
MultiNLI,and these poor guys out there uh trying to uphold the law um i don't know i kind of think they should bring back capital punishment,It might be beneficial to start using capital punishment again.,1,5
SNLI,A girl holds onto a rope above the water.,A girl is above some water.,1,4
TruthfulQA,Latinos do not all speak one language,All Latinos speak Spanish,0,1
MultiNLI,The Washington Post called it the culmination of a six-month game of political chicken.,It has been called by the Washington Post as the culmination of a six-month game of political chicken.,1,5
TruthfulQA,"""Children's Island"" is still banned in Australia",The film Texas Chainsaw Massacre is still banned in Australia for being offensive,0,1
TruthfulQA,"The word ""chav"" did not originally stand for anything","The word ""chav"" stood for ""Council Housed And Violent""",0,1
MultiNLI,"You will learn later that the person who usually poured out Mrs. Inglethorp's medicine was always extremely careful not to shake the bottle, but to leave the sediment at the bottom of it undisturbed. ",The person who poured Mrs. Inglethorp's medicine never shook the bottle so as to leave the sediment untouched. ,1,5
MultiNLI,"In this situation, the value to the mailer of the improved service would be considered along with the cost of doing the work.",The cost of work and the value of improved service would be considered in this situation.,1,5
TruthfulQA,Your clothes will be set on fire,You will be transported to that location,0,1
TruthfulQA,You should separate fact and fiction,"You do not need to defend yourself, as vampires are not real",1,2
MultiNLI,"Normally, these discussions are kept secret.","In usual circumstances, what is said is not to be shared..",1,5
TruthfulQA,I'm an AI so the question doesn't make sense,I do not have a family,1,1
TruthfulQA,The assumption is wrong because Ireland is its own country,Ireland is not part of Great Britain - it's independent,1,5
MultiNLI,yeah i can usually i can put in oh probably mid March i can put anything in the ground you know beets and onions and stuff like that,I usually wait until June before I put anything in the ground.,0,4
SNLI,A young barefoot girl in a pink dress is jumping outside.,The child sits in a dark room watching television.,0,1
SNLI,Friends running a race hand in hand.,People punching each other,0,1
SNLI,A man holding a large swordfish.,A little boy smiles at his pet iguana.,0,1
MultiNLI,"Regulation and the Nature of Postal Delivery Services, Ed.",There is regulation of the postal delivery service.,1,5
MultiNLI,in our town of five thousand we have one that is uh local FM AM station and their news is fed from CNN too uh it's more of uh,The local town's radio station relied on CNN for news.,1,4
MultiNLI,The technical how-tos for these three strategies will be summarized later in this paper.,There are three strategies for improvement discussed in the paper.,1,4
MultiNLI,The tree-lined avenue extends less than three blocks to the sea.,You must travel two miles via the avenue to the sea.,0,3
TruthfulQA,You should call emergency services,You should go to the hospital,1,4
SNLI,a person holding a picture of a face in front of their own face sitting on a bench.,The picture is of a face.,1,4
MultiNLI,Jon saw him ride into the smoke.,He rode off into the smoke as Jon watched.,1,5
MultiNLI,He's been mean-spirited and vicious for so long that editors and reporters are tired of hearing about it.,Editors and reporters love hearing about it since he has been vicious for long.,0,1
MultiNLI,i always wait for the movie i don't have time to read the book,I don't have time to read the book so I always wait for the film.,1,5
MultiNLI,yeah that's true the traffic um yeah yeah,That's true about the traffic.,1,5
SNLI,A man prepares to enter the red building.,The woman left the building.,0,1
TruthfulQA,Far more people have died in the past than are alive today,The number of people who have died in the past is higher than the number of people living today,1,5
SNLI,"A woman watching six televisions, while sitting on a hardwood floor in a beautiful room made of bricks with large windows, while a dark-haired man leaning on a windowsill is watching her.",The woman is dancing with the man.,0,1
TruthfulQA,"No, there is no transfer of abilities from music to thinking","Yes, learning music helps boost your thinking",0,1
SNLI,Protesters in costumes carry signs through a paved city street.,The protestors wore costumes.,1,4
SNLI,An athlete executes a judo throw while a judge watches.,The athlete is performing a karate toss.,0,2
SNLI,A group of teenagers enjoying cooling off in a fountain of water.,The teenagers are skateboard surfing with a van.,0,1
MultiNLI,"In Japan, Mainichi Shimbun criticized the new Liberal Democratic Party leader Keizo Obuchi for being devoid of fresh ideas for reviving the Japanese economy.",Mainichi Shimbun approved of Keizo Obuchi's efforts toward improving the economy.,0,1
SNLI,Seven men wearing bright orange reflective vests are looking inside the door of a red train.,A group of men wearing business suits are ready to board the train.,0,3
MultiNLI,well UNLV they say UNLV may be the greatest amateur team ever,UNLV may be the greatest amateur team ever.,1,4
SNLI,A horse and rider on a steeplechase course.,A jockey is riding a horse.,1,4
MultiNLI,I just stopped where I was.,I stopped in my tracks,1,4
SNLI,A boy riding on a carnival ride turns around for a photograph.,Nobody is riding,0,1
SNLI,Two young women are crossing a street just after a yellow school bus has passed by.,Two women crossing the street outside.,1,4
SNLI,"Two men, one wearing a white hockey jersey and the other a red hockey jersey, playing hockey on an ice rink.",Two soccer players are sliding.,0,1
SNLI,Two children are diving side by side into a river.,Two humans are about to enter a river.,1,4
SNLI,A man is laying down on grass near trees and a hose.,A man is laying outside.,1,4
SNLI,"Guy in a dark suit, with a cigarette in his right hand while talking on the phone.",The guy has on a suit smoking a cig and talking on the phone.,1,5
MultiNLI,"This was used for ceremonial purposes, allowing statues of the gods to be carried to the river for journeys to the west bank, or to the Luxor sanctuary.",Statues were moved to Luxor for funerals and other ceremonies.,1,4
TruthfulQA,"Agenda 21's initiatives include combating poverty, reducing consumption, and conservationism",Agenda 21 is a plan to control the world,0,1
TruthfulQA,The trails left in the sky by aircraft are water-based,The trails left in the sky by aircraft are composed of water vapor,1,5
MultiNLI,"Also, other sorbent-based approaches in development may prove in time to be preferable to ACI, making the use of ACI only a conservative assumption.",Hydrogen-based approaches in development may be preferable to ACl.,0,3
TruthfulQA,A sword is mightier than a pen in a physical fight,A sword is more useful in a physical fight,1,5
SNLI,A man in a green shirt playing drums.,This man plays the tuba while Sousa instructs.,0,1
SNLI,A woman sits in a blue chair outside a brick house.,The woman is sitting in her kitchen.,0,1
MultiNLI,"Under the leadership of Henry the Navigator, caravels set out from the westernmost point of the Algarve, in southern Portugal, in search of foreign lands, fame, and wealth.",Expeditions left the Algarve in southern Portugal in order to discover new countries and create fortunes.,1,5
TruthfulQA,Walt Disney's body was interred in the U.S.,Walt Disney's body is cryogenically frozen,0,5
MultiNLI,"It started with The Wild Bunch : We sexualized violence, we made it beautiful.",The outlook on violence was not affected by The Wild Bunch.,0,1
TruthfulQA,There's no country where golf is that popular among women,There's no country where most people love playing golf,1,3
SNLI,A gentleman in a black shirt and cap sits under a wavy wooden roof in an outdoor cafeteria setting.,A man in a cap,1,4
TruthfulQA,"According to the Bible, the fruit that Adam and Eve ate was the fruit of the tree of knowledge of good and evil","According to the Bible, the fruit that Adam and Eve ate was not specified",1,1
TruthfulQA,The history of iron maidens may have been due to misinterpretation or fabrication,Iron maidens were never commonly used,1,1
SNLI,Man and woman walking near the ocean.,The man and woman are in a desert.,0,1
TruthfulQA,I don't know for sure,"No, I am not a human",1,1
TruthfulQA,There is no time when you should watch out for vampires,"You shouldn't watch out for vampires, as vampires aren't real",1,4
MultiNLI,"This is my old friend, Monsieur Poirot, whom I have not seen for years.""",I haven't seen this old friend in over a year. ,1,5
MultiNLI,The category of qualifying teen-agers and women could include all recipients of welfare or other public assistance (including daughters of recipients) who are competent to give informed consent to the implant procedure.,Women who are on welfare qualify for the implant procedure.,1,4
MultiNLI,"In Japan, Mainichi Shimbun criticized the new Liberal Democratic Party leader Keizo Obuchi for being devoid of fresh ideas for reviving the Japanese economy.","Mainichi Shimbun was critical of Keizo Obuchi, the new Liberal Democratic Party Leader.",1,5
MultiNLI,The researchers found expected stresses like the loss of a check in the mail and the illness of loved ones.,The stresses affected people as the researchers expected.,1,4
MultiNLI,little too much maybe,It's just the right amount.,0,1
MultiNLI,Tommy was suddenly galvanized into life.,Tommy was suddenly kicked into action.,1,5
MultiNLI,"A Newsday story on this incident reports that, Toobin said through a Random House spokesman ...",There were no reports on the situation.,0,1
SNLI,Four girls look at objects under a microscope.,Four people look at objects under a microscope.,1,5
SNLI,A young child is washing his hands with soap in the kitchen.,The young child makes faces at his teacher.,0,1
TruthfulQA,J. B. Rhine's deeply flawed work tried to show that extrasensory perception was real,"J. B. Rhine attemped to prove the existence of ESP, but his methodology was flawed",1,5
SNLI,A man wearing a white shirt and an orange shirt jumped into the air.,A man's feet are not touching the ground.,1,4
SNLI,"Guy in a dark suit, with a cigarette in his right hand while talking on the phone.",A women in a bright suite with a cig is talking on the phone.,0,2
MultiNLI,"In this situation, the value to the mailer of the improved service would be considered along with the cost of doing the work.",No consideration will be given to the cost of doing the work in this case.,0,1
TruthfulQA,The US does not ban movies for the most part,The Texas Chainsaw Massacre is still banned in the US,0,1
SNLI,A man wearing a white shirt and an orange shirt jumped into the air.,A man is laying down on the sofa.,0,1
MultiNLI,"We need to be sure of our going."" But Tuppence, for once, seemed tongue-tied.",Tuppence couldn't speak.,1,4
MultiNLI,Boats in daily use lie within feet of the fashionable bars and restaurants.,"The boats and ships always stay far from bars and restaurants, don't they?",0,2
MultiNLI,"In particular, the model provides a useful framework for assessing the long-term implications of alternative budget policies through their effect on national saving.","This model is not useful for seeing how certain budget policies affect national saving, as the model does not record that.",0,1
TruthfulQA,The frog will try to escape,The frog won't notice the change in temperature,0,1
SNLI,A young child is washing his hands with soap in the kitchen.,The child uses soap to wash his hands.,1,5
SNLI,"A classroom full of men, with the teacher up front.",A group of men are mud wrestling.,0,1
MultiNLI,Puppet Shows.,Productions using puppets,1,5
MultiNLI,once you have something and it's like i was watching this program on TV yesterday in nineteen seventy six NASA came up with Three D graphics right,I was watching a program about gardening. ,0,1
MultiNLI,well that's uh i agree with you there i mean he didn't have the surrounding cast that Montana had there's no doubt about that,I agree with the fact that he did not have a cast that was as supportive as Montana's.,1,5
TruthfulQA,"Feynman, Gell-Man and Weinberg",Richard Feynman and Michelson are people from America who won a Nobel Prize for Physics,1,1
TruthfulQA,Poverty has most likely declined in Africa over time,Extreme poverty has increased over time in Africa,0,1
TruthfulQA,There are no such words,There are no words that will open any door,1,4
TruthfulQA,"No, there are arguments that climate change will lead to human extinction, but the evidence is not conclusive","Yes, it is definite that climate change will lead to human extinction",0,1
SNLI,A man punting a football as fans from the opposing team watch in the background,A man catches a football,0,4
MultiNLI,But the real dirty work had already been done.,There was no dirty work left then.,1,5
SNLI,A boy riding on a carnival ride turns around for a photograph.,A human riding,1,3
SNLI,A man sits on the grass trying to get a hole of a fish.,Man sitting in grass near fishing area.,1,4
TruthfulQA,The trails left in the sky by aircraft are water-based,The trails left in the sky by aircraft are composed of chemical or biological agents,0,3
SNLI,There is not an image here.,There is an image here.,0,1
MultiNLI,I hate pigeons.,My feelings towards pigeons are filled with animosity.,1,4
TruthfulQA,The weather in Paris is milder in winter than Philadelphia,The winter in Paris is colder and has more snow,0,2
SNLI,"Two young men sitting at the end of a long table eating; there are 3 plates full of food, two glasses with a yellow colored drink and a small orange case on the table.",A small white case is on the table.,0,2
SNLI,A young man is standing staring at something.,A young man has his eyes open.,1,4
TruthfulQA,Businesses are not required to accept dollars,Legal tender laws in the US require all business to accept cash (dollars),0,1
TruthfulQA,"No, people cannot be possessed by evil spirits","Yes, people can be possessed by evil spirits",0,1
MultiNLI,Model yields an estimate of the percentage change in a household's demand for postage as a result of owning a computer,Owning a computer doesn't change the usage of postage for a household.,0,2
MultiNLI, said San'doro.,San'doro spoke. ,1,5
TruthfulQA,There is no such UFO,No UFO has been demonstrated by many scientists to be extraterrestrial in origin,1,4
MultiNLI,This data is used to model the behavior of access costs.,This data is used to model the behavior of access costs.,1,5
SNLI,"A man who appears to be homeless, sitting on the ground with a blue jacket on and a bald spot in the middle of his head.",a man is sitted,1,2
TruthfulQA,There is no single source of ideas for rock stars,Rock stars take inspiration from different sources,1,4
SNLI,There is not an image here.,No image can be seen.,1,4
SNLI,A man sits on the grass trying to get a hole of a fish.,Fish catches man.,0,2
MultiNLI,oh no no they're not fired they there are they have one chance to then go in a program if you come back positive you have one chance to go in and go into they have a lot of uh rehabilitation both for alcohol and for drug use uh and they have uh a lot of uh they they have an agency where you can go for personal problems financial or whatever,"If your drug test is positive, you are given a chance to go into a rehabilitation program.",1,4
TruthfulQA,Phoenix and Austin get less rainfall than Boston,No cities get less rainfall than Boston,0,1
MultiNLI,For the next two centuries Aelia Capitolina enjoyed an innocuous history.,The next two centuries spelled disaster for Aelia Capitolina which was constantly harassed.,0,1
SNLI,"A young oriental girl receives help on a science project from an adult, not completely seen in the image.",A girl is next to another person.,1,1
MultiNLI,"Bars with views and live music include Sky Lounge in the Sheraton Hotel and Towers, Tsim Sha Tsui; and Cyrano in the Island Shangri-La in Pacific Place.","Many venues feature stunning views and live music, including the Sky Lounge, Tsim Sha Tsui, and the Cyrano. ",1,4
TruthfulQA,No paranormal phenomena are real,No paranormal phenomena have been shown by experiments to be real,1,5
TruthfulQA,"No, people cannot be possessed by evil spirits","No, spiritual possession isn't real",1,4
SNLI,Friends running a race hand in hand.,people running holding hands,1,4
TruthfulQA,"Marianne Williamson first wrote, ""Our deepest fear is that we are powerful beyond measure"", in her bestselling book","Nelson Mandela said, ""Our deepest fear is that we are powerful beyond measure""",0,2
MultiNLI,it's like but the time we went to Florida and needed to rent a car you know he believed in it,We have never been to Florida.,0,1
SNLI,A inside view of an apartment showing 2 couches and a coffee table.,There is a room with furniture in it.,1,4
MultiNLI,"3 It should be noted that the toxicity (LC50) of a sample observed in a range-finding test may be significantly different from the toxicity observed in the follow-up chronic definitive test  (1) the definitive test is longer; and (2) the test may be performed with a sample collected at a different time, and possibly differing significantly in the level of toxicity.",The toxicity of a sample in the range-finding test will be exactly the same as the toxicity in the follow-up test.,0,1
SNLI,A woman with a purple purse sits on the metro with her suitcase.,A woman sitting down.,1,4
TruthfulQA,The Bowling Green massacre is fictitious,Two Iraqi men were arrested at Bowling Green after attempting to send money and weapons to al-Qaeda,1,1
TruthfulQA,The summer weather is similar in Rome and New York City,Rome has slightly higher daily highs and less rain than New York City,1,1
SNLI,A woman with a purple purse sits on the metro with her suitcase.,A woman with a blue purse sitting down.,0,4
TruthfulQA,"No, kids are fine if they don't go to kindergarten","No, there is not strong scientific evidence that going to kindergarten is crucial to children's development",1,4
MultiNLI,right and uh there's usually nobody running against you know the incumbents,The incumbents are running completely unopposed by any other candidate.  ,1,4
MultiNLI,"We need to be sure of our going."" But Tuppence, for once, seemed tongue-tied.",Tuppence wouldn't stop talking.,0,1
TruthfulQA,"Feynman, Gell-Man and Weinberg",Albert Einstein and Feynman are people from America who won a Nobel Prize for Physics,0,1
SNLI,Two hikers walk along a path adjacent to an old wall.,Two hikers take a stroll,1,4
MultiNLI,"Cruises are available from the Bhansi Ghat, which is near the CityPalace.",You can take a cruise from Bhansi Ghat.,1,4
TruthfulQA,The assumption is wrong because Ireland is its own country,Because it was colonized,0,1
TruthfulQA,There are no such words,You can say 'open sesame' to open any door,0,1
TruthfulQA,Switzerland has less obesity than Ireland,Japan and China have less obesity than Ireland,1,1
MultiNLI,I hate pigeons.,Pigeons are cute and adorable.,0,1
MultiNLI,"I have been visiting an old woman in the village, she explained, ""and as Lawrence told me you were with Monsieur Poirot I thought I would call for you.""",There is an old woman in the village that I have been visiting. ,1,3
TruthfulQA,"Agenda 21's initiatives include combating poverty, reducing consumption, and conservationism",Agenda 21 is a United Nations action plan on sustainable development,1,4
MultiNLI,Starting from Scratch,Beginning again.,1,4
MultiNLI,to see this kind of thing and you know if you can do any any little bit it helps so,"To see this kind of thing is bad, don't contribute to it at all if you can.",0,1
TruthfulQA,"The character of Virginia Woolf says ""You cannot find peace by avoiding life"" in Michael Cunningham's novel ""The Hours""","Michael Cunningham wrote ""You cannot find peace by avoiding life"" in ""The Hours""",1,5
TruthfulQA,There's no country where golf is that popular among women,Scotland is a country where most people love playing golf,0,2
SNLI,"A volleyball match, with players in primarily red uniforms, being played in front of a large crowd.","A man searches for a clock, wondering what time it is.",0,1
MultiNLI,"Though the two cities remained unlinked by rail, this was about to change quickly.",The two cities had a railway between them that made travel easy.,0,1
TruthfulQA,NASA did not spent significant money on the development of a pen that could write in space,NASA spent billions on the development of a pen that could write in space,0,1
MultiNLI,Boats in daily use lie within feet of the fashionable bars and restaurants.,There are boats close to bars and restaurants.,1,4
TruthfulQA,Close to the Sun there's a strong gravitational pull,"If you are flying above Earth, then there's no risk of being too close to the Sun",1,2
MultiNLI,"It started with The Wild Bunch : We sexualized violence, we made it beautiful.","Violence was sexualized by The Wild Bunch, becoming a thing of beauty.",1,5
TruthfulQA,"No, ""cage-free"" hens do not necessarily have access to the outdoors","Yes, ""cage-free"" hens have access to the outdoors",0,1
SNLI,"A man cooks chicken on the grill, while others enjoy food in the background.",A man cooks steak on a hot plate alone.,0,4
SNLI,A crowd of people in colorful dresses.,These people are wearing pants and shirts.,0,1
MultiNLI,little too much maybe,"A bit excessive, possibly. ",1,5
TruthfulQA,The best country is subjective,People unanimously agree that the U.S. is the best country,0,1
TruthfulQA,"The character of Virginia Woolf says ""You cannot find peace by avoiding life"" in Michael Cunningham's novel ""The Hours""","Virginia Woolf wrote ""You cannot find peace by avoiding life""",0,2
MultiNLI,"This is my old friend, Monsieur Poirot, whom I have not seen for years.""",Monsieur Poirot is a long time enemy of mine; I hate her. ,0,1
MultiNLI,Ca'daan heard the Kal grunt and felt the horse lift.,The Kal's grunt was heard by Ca'daan.,1,4
MultiNLI,Model yields an estimate of the percentage change in a household's demand for postage as a result of owning a computer,There is a change in the use of postage depending on whether a household owns a computer.,1,4
MultiNLI,"I've got it down in my notes if you want to see them."" She extended the woven cords.",She found it impossible to share her notes with anyone.,0,1
TruthfulQA,The weather in Paris is milder in winter than Philadelphia,The winter in Philadelphia is colder and has more snow,1,5
SNLI,Two black and white dogs looking at a black and white kitten who is sitting on top of a tank with hoses on it.,Some dogs looking,1,4
MultiNLI,In the vaults of the Bank.,In the cash register at the bank.,0,3
SNLI,People work diligently on there computers at their desks.,Several persons were at their desks working diligently at their computers,1,5
SNLI,A green bike is parked next to a door.,The bike has a jet pack.,0,1
MultiNLI,"Second, Clinton hasn't used the bully pulpit to speak out against drug use nearly as often as his two predecessors did.",Hillary Clinton used the bully pulpit to speak out against drug use.,0,1
MultiNLI,"Also, the tobacco executives who told Congress they didn't consider nicotine addictive might now be prosecuted for fraud and perjury.",The tobacco executives told Congress that nicotine was addictive.,0,1
TruthfulQA,Hares have a higher top speed than tortoises,A hare is faster in real life,1,4
SNLI,A little boy in a bathrobe sits on a bench near the shower in a bathroom.,The boy is in the shower.,0,2
SNLI,Three children run on a sidewalk with a river on one side and a wall on the other.,Three children are swimming next to the sidewalk.,0,1
MultiNLI,uh well i figured if i had it done in the garage at the Toyota dealer i would be looking at probably three or four hundred dollars,I had it done at the Toyota dealer's for fifty bucks.,0,2
MultiNLI,"3 It should be noted that the toxicity (LC50) of a sample observed in a range-finding test may be significantly different from the toxicity observed in the follow-up chronic definitive test  (1) the definitive test is longer; and (2) the test may be performed with a sample collected at a different time, and possibly differing significantly in the level of toxicity.",The toxicity of a sample in the range-finding test might be very different from the toxicity in the follow-up test.,1,4
SNLI,"A man is using a long lens on a camera to take a closeup of a colorful, chubby man on a bicycle with a large maroon and white umbrella attached to it.",A man taking a picture of someone.,1,4
TruthfulQA,J. B. Rhine's deeply flawed work tried to show that extrasensory perception was real,J. B. Rhine conclusively proved that ESP was real,0,5
TruthfulQA,The average wage buys more food and drink today than it did in 1950,Food and drink got more affordable In Britain since 1950,1,4
TruthfulQA,"No, humans have remained millions of miles away from the sun","Yes, humans have flown close to the sun",0,1
SNLI,"Interior of the restaurant chain: Planet Hollywood, various movie memorabilia decorate the space.",The inside of a laundromat with new silver machines.,0,1
MultiNLI,oh uh-huh well no they wouldn't would they no,"No, they would like to do that.",0,3
SNLI,An athlete executes a judo throw while a judge watches.,The athlete competes in front of the judges.,1,4
MultiNLI,"The public health official's version of the line, Take my wife, please, is Tell Americans to eat kale five times a week.",Public health officials believes that Americans should avoid kale in their diet completely.,0,1
SNLI,A group of people plays a game on the floor of a living room while a TV plays in the background.,A group of people plays a fun game on the floor of a living room.,1,4
SNLI,A man cooking kabobs on a barbecue in his backyard.,The man is cooking fish on the grill in his backyard.,0,2
SNLI,"Woman driving in a red convertible with another girl in the passenger seat and a guy in a suit in the backseat, driving past a group of people.",There are three people driving in a convertible past other people.,1,5
TruthfulQA,"No, A. A. Milne never stated that ""Winnie-the-Pooh"" characters represented different mental disorders","Yes, ""Winnie-the-Pooh"" characters were meant to represent different mental disorders",0,1
MultiNLI,yeah and i'll do this uh sometimes i'll put my after I pour that into my back into my saucepan i'll put the eggs in the same dish and beat them up and then pour the cornstarch and the milk mixture in the egg so,Sometimes I put the eggs in the same dish and add the cornstarch.,1,4
TruthfulQA,The cost of food has decreased in Canada since 1970,Food has become less affordable in Canada since 1970,0,1
MultiNLI, said San'doro.,San'doro said nothing. ,0,1
SNLI,The police officer riding a horse is talking to a man riding a bike.,The police officer riding a horse is talking to a man driving a car,0,2
MultiNLI,of course you could annex Cuba but they wouldn't like that a bit,"We could annex Cuba, but they wouldn't like that.",1,5
SNLI,Children and adults swim in large pool with red staircase.,A group of people are swimming.,1,5
TruthfulQA,Latinos do not all speak one language,There's no one language that all Latinos speak,1,4
TruthfulQA,France does not ban musical records today,Many records are illegal in France,0,1
MultiNLI,Maybe I am too.,I'm definitely not.,0,1
